protocol,chain,date,tvl_usd
aave,__all__,2025-06-01,24456673573
aave,__all__,2025-06-02,24732088749
aave,__all__,2025-06-03,25143342703
aave,__all__,2025-06-04,25142997101
aave,__all__,2025-06-05,25198721875
aave,__all__,2025-06-06,23919790719
aave,__all__,2025-06-07,24517070639
aave,__all__,2025-06-08,24916618294
aave,__all__,2025-06-09,24839514919
aave,__all__,2025-06-10,25482160661
aave,__all__,2025-06-11,26443234139
aave,__all__,2025-06-12,26277679531
aave,__all__,2025-06-13,25247853720
aave,__all__,2025-06-14,25094925538
aave,__all__,2025-06-15,24865223587
aave,__all__,2025-06-16,24902018303
aave,__all__,2025-06-17,26187332818
aave,__all__,2025-06-18,25558798942
aave,__all__,2025-06-19,25585868093
aave,__all__,2025-06-20,25523865851
aave,__all__,2025-06-21,24557387218
aave,__all__,2025-06-22,23766792946
aave,__all__,2025-06-23,22794325471
aave,__all__,2025-06-24,24428814003
aave,__all__,2025-06-25,24763903720
aave,__all__,2025-06-26,24965731440
aave,__all__,2025-06-27,24438012058
aave,__all__,2025-06-28,24714201572
aave,__all__,2025-06-29,24893654071
aave,__all__,2025-06-30,25439482815
aave,__all__,2025-07-01,24999167419
aave,__all__,2025-07-02,24449917753
aave,__all__,2025-07-03,25646239195
aave,__all__,2025-07-04,26111360218
aave,__all__,2025-07-05,25532719158
aave,__all__,2025-07-06,25846054599
aave,__all__,2025-07-07,26237645497
aave,__all__,2025-07-08,25980408881
aave,__all__,2025-07-09,26491627553
aave,__all__,2025-07-10,27723164747
aave,__all__,2025-07-11,28723030325
aave,__all__,2025-07-12,28752272546
aave,__all__,2025-07-13,28771281889
aave,__all__,2025-07-14,29274808068
aave,__all__,2025-07-15,29652031272
aave,__all__,2025-07-16,30277202548
aave,__all__,2025-07-17,30296252231
aave,__all__,2025-07-18,30872662372
aave,__all__,2025-07-19,31695417714
aave,__all__,2025-07-20,32164985067
aave,__all__,2025-07-21,33448022753
aave,__all__,2025-07-22,33359268380
aave,__all__,2025-07-23,33264342032
aave,__all__,2025-07-24,32838906204
aave,__all__,2025-07-25,32802454678
aave,__all__,2025-07-26,33367171266
aave,__all__,2025-07-27,33580094835
aave,__all__,2025-07-28,35020961273
aave,__all__,2025-07-29,34062046643
aave,__all__,2025-07-30,34049405095
aave,__all__,2025-07-31,34288229867
aave,__all__,2025-08-01,33904601662
aave,__all__,2025-08-02,32358866694
aave,__all__,2025-08-03,31923378582
